info,sample,ethnicity,count,hits,avghits
3DS1,ERR1955404,EUR,0,0,0
3DP1,ERR1955404,EUR,0,0,0
3DP12DL4,ERR1955404,EUR,0,0,0
3DL3,ERR1955404,EUR,0,0,0
3DL2,ERR1955404,EUR,0,0,0
3DL1,ERR1955404,EUR,0,0,0
2DS5,ERR1955404,EUR,0,0,0
2DS5,ERR1955404,EUR,0,0,0
2DS4,ERR1955404,EUR,0,0,0
2DS3,ERR1955404,EUR,0,0,0
2DS2,ERR1955404,EUR,0,0,0
2DS1,ERR1955404,EUR,0,0,0
2DP1,ERR1955404,EUR,0,0,0
2DL5,ERR1955404,EUR,0,0,0
2DL4,ERR1955404,EUR,0,0,0
2DL3,ERR1955404,EUR,0,0,0
2DL2,ERR1955404,EUR,0,0,0
2DL1,ERR1955404,EUR,0,0,0
2DL2L32DP1,ERR1955404,EUR,0,0,0
3DL32DS2,ERR1955404,EUR,0,0,0
2DS3S5A2DS1,ERR1955404,EUR,0,0,0
cA01tA02,ERR1955404,EUR,0,0,0
cB03tA01,ERR1955404,EUR,0,0,0
cA01tA01,ERR1955404,EUR,0,0,0
cA01tB01,ERR1955404,EUR,0,0,0
cB01tA01,ERR1955404,EUR,0,0,0
cB01tB01,ERR1955404,EUR,0,0,0
cB02tA01,ERR1955404,EUR,0,0,0
cB02tB01,ERR1955404,EUR,0,0,0
3DS1,ERR1955420,AFR,0,0,0
3DP1,ERR1955420,AFR,0,0,0
3DP12DL4,ERR1955420,AFR,0,0,0
3DL3,ERR1955420,AFR,0,0,0
3DL2,ERR1955420,AFR,0,0,0
3DL1,ERR1955420,AFR,0,0,0
2DS5,ERR1955420,AFR,0,0,0
2DS5,ERR1955420,AFR,0,0,0
2DS4,ERR1955420,AFR,0,0,0
2DS3,ERR1955420,AFR,0,0,0
2DS2,ERR1955420,AFR,0,0,0
2DS1,ERR1955420,AFR,0,0,0
2DP1,ERR1955420,AFR,0,0,0
2DL5,ERR1955420,AFR,0,0,0
2DL4,ERR1955420,AFR,0,0,0
2DL3,ERR1955420,AFR,0,0,0
2DL2,ERR1955420,AFR,0,0,0
2DL1,ERR1955420,AFR,0,0,0
2DL2L32DP1,ERR1955420,AFR,0,0,0
3DL32DS2,ERR1955420,AFR,0,0,0
2DS3S5A2DS1,ERR1955420,AFR,0,0,0
cA01tA02,ERR1955420,AFR,0,0,0
cB03tA01,ERR1955420,AFR,0,0,0
cA01tA01,ERR1955420,AFR,0,0,0
cA01tB01,ERR1955420,AFR,0,0,0
cB01tA01,ERR1955420,AFR,0,0,0
cB01tB01,ERR1955420,AFR,0,0,0
cB02tA01,ERR1955420,AFR,0,0,0
cB02tB01,ERR1955420,AFR,0,0,0
3DS1,ERR1955443,AFR,0,0,0
3DP1,ERR1955443,AFR,0,0,0
3DP12DL4,ERR1955443,AFR,0,0,0
3DL3,ERR1955443,AFR,0,0,0
3DL2,ERR1955443,AFR,0,0,0
3DL1,ERR1955443,AFR,0,0,0
2DS5,ERR1955443,AFR,0,0,0
2DS5,ERR1955443,AFR,0,0,0
2DS4,ERR1955443,AFR,0,0,0
2DS3,ERR1955443,AFR,0,0,0
2DS2,ERR1955443,AFR,0,0,0
2DS1,ERR1955443,AFR,0,0,0
2DP1,ERR1955443,AFR,0,0,0
2DL5,ERR1955443,AFR,0,0,0
2DL4,ERR1955443,AFR,0,0,0
2DL3,ERR1955443,AFR,0,0,0
2DL2,ERR1955443,AFR,0,0,0
2DL1,ERR1955443,AFR,0,0,0
2DL2L32DP1,ERR1955443,AFR,0,0,0
3DL32DS2,ERR1955443,AFR,0,0,0
2DS3S5A2DS1,ERR1955443,AFR,0,0,0
cA01tA02,ERR1955443,AFR,0,0,0
cB03tA01,ERR1955443,AFR,0,0,0
cA01tA01,ERR1955443,AFR,0,0,0
cA01tB01,ERR1955443,AFR,0,0,0
cB01tA01,ERR1955443,AFR,0,0,0
cB01tB01,ERR1955443,AFR,0,0,0
cB02tA01,ERR1955443,AFR,0,0,0
cB02tB01,ERR1955443,AFR,0,0,0
3DS1,ERR1955491,EUR,0,0,0
3DP1,ERR1955491,EUR,0,0,0
3DP12DL4,ERR1955491,EUR,0,0,0
3DL3,ERR1955491,EUR,0,0,0
3DL2,ERR1955491,EUR,0,0,0
3DL1,ERR1955491,EUR,0,0,0
2DS5,ERR1955491,EUR,0,0,0
2DS5,ERR1955491,EUR,0,0,0
2DS4,ERR1955491,EUR,0,0,0
2DS3,ERR1955491,EUR,0,0,0
2DS2,ERR1955491,EUR,0,0,0
